folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,anio,nivel,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
12B175,9,40637,2,1,0,1,1,220,2,68,4,7,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,5,,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,22224,4,4,2,0,0,0,2
12B175,9,40637,1,1,0,2,1,220,2,71,4,7,7,1,1,1,1,2,2,1,1,3,,2,2,2,1,2,2,,3,200,2,1,1,,2,3,,2,2,2,2,2,2,1,2,2,,3,60,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,3,,30,2,0,,2,3,2,0,,1,2,2,2,1,1,2,0,1,2,1,2,2,2,2,14816,1,2,1,2,2,0,1
12B175,9,40637,3,1,0,1,1,220,2,74,4,7,7,1,1,1,1,1,2,1,3,3,,2,2,2,1,2,2,,2,0,2,1,1,,3,3,,2,2,1,2,2,2,2,2,2,,3,60,2,1,1,,2,3,,1,2,1,2,1,3,30,2,1,1,,0,0,0,2,3,,50,2,0,,2,3,2,0,,1,2,2,2,1,1,2,0,1,2,1,1,1,1,1,7408,1,2,1,2,2,2,1
11B175,9,40638,4,1,0,2,1,220,2,56,3,9,7,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,3,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,31192,4,4,2,0,0,0,2
11B175,9,40638,1,1,1,1,1,220,1,57,2,8,1,1,2,2,2,2,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,2,,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,8511,4,4,2,0,0,0,2
11B175,9,40638,3,1,1,1,1,220,1,49, ,0,1,1,2,2,2,1,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,3,4,,1,1,1,1,1,3,20,2,1,2,,0,0,0,0,0,,10,2,0,,2,2,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,19767,3,3,1,0,0,2,1
11B175,9,40638,2,1,1,2,1,220,2,27,1,7,1,1,2,2,2,1,2,2,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,3,3,,1,1,1,2,2,2,0,2,1,2,,0,0,0,0,0,,10,2,0,,3,3,2,0,,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,16825,3,3,1,0,0,2,1
12A192,10,40064,3,1,0,2,26,220,2,18,3,4,7,1,1,1,2,2,2,1,5,4,,2,2,2,1,2,2,,3,600,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,4,,120,1,3,,1,3,1,0,,2,2,2,2,2,1,2,0,1,2,1,1,1,1,2,18537,1,2,1,2,0,0,1
12A192,10,40064,2,1,0,3,26,220,1,24,3,4,1,1,2,1,1,2,2,1,1,4,,2,2,2,1,2,2,,3,50,2,1,1,,4,4,,1,2,2,2,2,2,2,2,2,,2,0,2,1,1,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,,20,1,3,,4,4,1,0,,2,2,2,2,1,1,1,1,1,5,1,1,1,1,2,36437,3,2,1,2,2,0,1
12A192,10,40064,1,1,0,1,26,220,1,25,3,4,1,1,2,1,1,1,2,1,4,4,,2,2,2,1,2,2,,2,0,2,1,1,,1,4,,2,2,2,2,2,2,2,1,2,,3,60,2,1,1,,1,3,,2,2,1,1,1,3,3,2,1,1,,0,0,0,1,4,,30,1,5,,2,2,1,0,,2,1,2,2,2,2,1,1,2,0,1,1,1,2,2,7993,3,2,1,2,2,2,1
