folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p5_6esp,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_6esp,p7,p7_3,p8_1,p8_2,p9,p9_5esp,p10,p11,p11_6esp,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p12_9esp,p13,p13_3,p14_1,p14_2,p15,p15_5esp,p16,p17,p17_6esp,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p21_5esp,p22,p23_1,p23_2,p24,p25,p25_6esp,p26,p27,p28,p28_7esp,p29,p30,p31,p32,p32_6esp,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl
"13B202","25","40015","2","1","0","01","24","0222","1","56","07","5","01",1,2,2,1,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",2,3,"",2,2,2,2,2,2,1,2,2,"",2,0,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",25,2,0,"",2,4,1,0,"",2,2,2,2,1,1,1,1,1,5,1,1,1,1,1,11132,"3","3","1","0","2","0","1"
"12B196","25","40020","1","1","0","01","24","0222","2","76","02","4","07",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,20942,"4","4","2","0","0","0","2"
"12B196","25","40020","2","1","0","01","24","0222","2","29","03","3","07",1,1,2,1,2,1,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",3,4,"",2,2,1,2,2,2,2,2,2,"",3,300,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",2,2,1,5,4,"",30,2,0,"",2,2,2,0,"",2,2,2,2,2,2,2,0,2,0,1,1,1,1,1,6912,"1","3","1","0","2","0","1"
"12B196","25","40020","3","1","0","01","24","0222","1","34","07","1","01",1,2,2,1,1,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",3,1,"",1,2,2,2,2,1,2,2,2,"",2,0,2,1,2,"",3,3,"",1,1,1,2,2,2,0,2,1,2,"",0,0,0,2,1,"",20,2,0,"",2,4,2,0,"",2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,15052,"3","3","1","0","2","2","1"
"12B193","25","40079","2","1","0","03","24","0222","1","25","06","3","01",1,2,2,2,1,2,1,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",2,3,"",2,1,2,2,1,2,0,2,1,2,"",0,0,0,2,1,"",20,2,0,"",2,3,2,0,"",2,2,2,2,1,1,2,0,2,0,1,1,1,1,1,24134,"3","3","1","0","0","2","1"
"12B193","25","40079","1","1","0","01","24","0222","1","38","07","2","01",1,2,2,2,1,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",2,3,"",2,1,2,2,1,2,0,2,1,1,"",0,0,0,0,0,"",20,2,0,"",2,3,2,0,"",2,2,2,2,2,2,2,0,1,1,1,2,1,1,2,7657,"3","3","1","0","0","2","1"
"12B193","25","40079","4","1","0","01","24","0222","2","31","07","5","07",1,2,1,2,2,2,1,1,4,"",2,2,2,1,2,2,"",1,0,1,2,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,2,4,"",15,2,0,"",3,3,2,0,"",2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,7389,"3","2","1","1","0","0","1"
"12B193","25","40079","3","1","0","01","24","0222","1","68","07","1","01",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,2,1,2,2,8052,"4","4","2","0","0","0","2"
"11B202","25","40083","4","1","0","02","24","0222","2","62","02","2","07",1,2,2,2,2,2,2,0,0,"",0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,0,"",0,0,0,1,"",2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,27070,"4","4","2","0","0","0","2"
"11B202","25","40083","2","1","0","03","24","0222","2","22","07","2","02",1,2,1,2,2,2,1,1,1,"",2,1,2,2,2,2,"",3,350,2,1,1,"",0,0,"",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,0,"",0,0,0,0,0,0,0,0,0,0,"",0,0,0,5,3,"",20,2,0,"",2,3,1,0,"",2,2,2,2,1,1,3,0,1,1,1,1,1,1,1,27742,"3","2","1","2","0","0","1"
